protocol,field,log_input,message_elements,codeword_elements,actual_inverse_rate,threads,warmups,repetitions,setup_ms,mean_ms,median_ms,min_ms,max_ms,cv_percent,mean_ns_per_input_element,gpu_h2d_mean_ms,gpu_kernel_mean_ms,gpu_d2h_mean_ms,gpu_cuda_total_mean_ms,public_repo_revision,notes
QA,Mersenne127,12,4096,8192,2.000000000,32,1,10,0.173874,1.279435,1.275440,1.260118,1.3152,1.169361,312.362158203125,,,,,c29f08653121637b456e4705d901d078cd6fc668,current row-parallel Quasar QA encoder; output allocation included
QA-GPU,Mersenne127,12,4096,8192,2.000000000,32,1,10,258.658442,0.056406,0.056267,0.054971,0.0600,2.259149,13.771044921875,0.008544,0.032726,0.008406,0.049677,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,12,4096,16384,4.000000000,32,1,10,2.890497,0.805192,0.804188,0.715166,0.8661,6.367029,196.5801513671875,,,,,c29f08653121637b456e4705d901d078cd6fc668,public Blaze encode_bits_ser as-is; input clone/setup excluded; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,12,4096,7046,1.720214844,32,1,10,4.450482,1.406470,1.407427,1.387622,1.4280,0.907947,343.3765380859375,,,,,c29f08653121637b456e4705d901d078cd6fc668,BrakedownSpec6; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,12,4096,8192,2.000000000,32,1,10,2.600540,2.043724,2.021581,1.959505,2.3086,4.742976,498.956005859375,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded
QA,Mersenne127,13,8192,16384,2.000000000,32,1,10,0.095332,1.034921,1.032653,1.026173,1.0567,0.774587,126.33309326171876,,,,,c29f08653121637b456e4705d901d078cd6fc668,current row-parallel Quasar QA encoder; output allocation included
QA-GPU,Mersenne127,13,8192,16384,2.000000000,32,1,10,1.853273,0.064735,0.064577,0.061301,0.0665,2.177199,7.9022705078125,0.010707,0.037267,0.009824,0.057798,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,13,8192,32768,4.000000000,32,1,10,4.184736,1.193547,1.201532,1.126016,1.2441,3.217583,145.6967041015625,,,,,c29f08653121637b456e4705d901d078cd6fc668,public Blaze encode_bits_ser as-is; input clone/setup excluded; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,13,8192,14092,1.720214844,32,1,10,7.622646,2.718529,2.736212,2.644531,2.7893,1.999882,331.8517211914062,,,,,c29f08653121637b456e4705d901d078cd6fc668,BrakedownSpec6; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,13,8192,16384,2.000000000,32,1,10,6.572200,3.583520,3.570122,3.460859,3.7028,1.998157,437.44141845703126,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded
QA,Mersenne127,14,16384,32768,2.000000000,32,1,10,0.394899,3.223570,3.053860,2.217181,4.6608,31.793326,196.7510986328125,,,,,c29f08653121637b456e4705d901d078cd6fc668,current row-parallel Quasar QA encoder; output allocation included
QA-GPU,Mersenne127,14,16384,32768,2.000000000,32,1,10,2.161289,0.078539,0.078967,0.074302,0.0798,1.902097,4.79364013671875,0.015638,0.041837,0.014054,0.071530,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,14,16384,65536,4.000000000,32,1,10,7.499362,1.723453,1.725210,1.657868,1.8022,2.554153,105.19124145507811,,,,,c29f08653121637b456e4705d901d078cd6fc668,public Blaze encode_bits_ser as-is; input clone/setup excluded; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,14,16384,28184,1.720214844,32,1,10,7.970752,2.768201,2.771144,2.741883,2.7996,0.627203,168.9575561523438,,,,,c29f08653121637b456e4705d901d078cd6fc668,BrakedownSpec6; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,14,16384,32768,2.000000000,32,1,10,13.734195,5.829134,5.771498,5.617619,6.1676,3.243923,355.7820983886719,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded
QA,Mersenne127,15,32768,65536,2.000000000,32,1,10,0.785358,5.510607,4.732238,4.721478,9.2256,28.774260,168.1703887939453,,,,,c29f08653121637b456e4705d901d078cd6fc668,current row-parallel Quasar QA encoder; output allocation included
QA-GPU,Mersenne127,15,32768,65536,2.000000000,32,1,10,2.284462,0.102862,0.102288,0.100123,0.1122,3.236332,3.139083862304688,0.024547,0.048560,0.022746,0.095853,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,15,32768,131072,4.000000000,32,1,10,13.627863,2.668393,2.666476,2.612280,2.7140,1.406274,81.43289794921874,,,,,c29f08653121637b456e4705d901d078cd6fc668,public Blaze encode_bits_ser as-is; input clone/setup excluded; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,15,32768,56364,1.720092773,32,1,10,15.405604,5.417535,5.406669,5.343342,5.5059,0.806563,165.33005676269528,,,,,c29f08653121637b456e4705d901d078cd6fc668,BrakedownSpec6; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,15,32768,65536,2.000000000,32,1,10,23.685723,9.814623,9.755824,9.375815,10.8989,3.995036,299.51852416992193,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded
QA,Mersenne127,16,65536,131072,2.000000000,32,1,10,1.583566,12.959162,12.924581,12.897686,13.1827,0.634617,197.74112243652343,,,,,c29f08653121637b456e4705d901d078cd6fc668,current row-parallel Quasar QA encoder; output allocation included
QA-GPU,Mersenne127,16,65536,131072,2.000000000,32,1,10,2.426916,0.146990,0.146308,0.143383,0.1537,1.841443,2.2428939819335936,0.045219,0.054554,0.039773,0.139546,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,16,65536,262144,4.000000000,32,1,10,27.494640,4.643611,4.644291,4.565824,4.7067,0.913573,70.8558868408203,,,,,c29f08653121637b456e4705d901d078cd6fc668,public Blaze encode_bits_ser as-is; input clone/setup excluded; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,16,65536,112728,1.720092773,32,1,10,16.007087,5.491100,5.481071,5.423754,5.5625,0.703009,83.78753967285157,,,,,c29f08653121637b456e4705d901d078cd6fc668,BrakedownSpec6; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,16,65536,131072,2.000000000,32,1,10,50.973989,17.602415,17.480751,15.850934,20.9953,7.081309,268.59153442382814,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded
QA,Mersenne127,17,131072,262144,2.000000000,32,1,10,3.173883,27.172468,27.161552,27.124253,27.3031,0.174516,207.30947875976565,,,,,c29f08653121637b456e4705d901d078cd6fc668,current row-parallel Quasar QA encoder; output allocation included
QA-GPU,Mersenne127,17,131072,262144,2.000000000,32,1,10,3.030100,0.236650,0.237916,0.226395,0.2441,2.266783,1.805499267578125,0.084365,0.063920,0.079456,0.227741,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,17,131072,524288,4.000000000,32,1,10,56.361353,11.644384,11.672968,11.417762,11.8600,1.093758,88.83959884643555,,,,,c29f08653121637b456e4705d901d078cd6fc668,public Blaze encode_bits_ser as-is; input clone/setup excluded; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,17,131072,225448,1.720031738,32,1,10,29.469946,10.958803,10.948276,10.841399,11.0621,0.665762,83.60903396606444,,,,,c29f08653121637b456e4705d901d078cd6fc668,BrakedownSpec6; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,17,131072,262144,2.000000000,32,1,10,82.049742,34.612863,34.619744,32.063035,37.6479,5.667304,264.0751861572266,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded
QA,Mersenne127,18,262144,524288,2.000000000,32,1,10,5.346743,57.294627,57.302045,57.197952,57.3835,0.088635,218.56165771484373,,,,,c29f08653121637b456e4705d901d078cd6fc668,current row-parallel Quasar QA encoder; output allocation included
QA-GPU,Mersenne127,18,262144,524288,2.000000000,32,1,10,6.090079,0.412308,0.410784,0.400059,0.4253,1.753053,1.5728282928466801,0.148090,0.099901,0.155478,0.403469,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,18,262144,1048576,4.000000000,32,1,10,107.003494,23.401859,23.414122,23.040489,23.9223,1.161504,89.27100639343263,,,,,c29f08653121637b456e4705d901d078cd6fc668,public Blaze encode_bits_ser as-is; input clone/setup excluded; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,18,262144,450896,1.720031738,32,1,10,28.043464,13.057631,13.638327,11.002523,14.8199,13.185314,49.81091079711915,,,,,c29f08653121637b456e4705d901d078cd6fc668,BrakedownSpec6; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,18,262144,524288,2.000000000,32,1,10,143.917821,70.967861,71.265734,67.173751,74.5158,3.065147,270.7209064483643,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded
QA,Mersenne127,19,524288,1048576,2.000000000,32,1,10,6.132260,120.462732,120.429012,120.266199,120.6689,0.116087,229.76442680358883,,,,,c29f08653121637b456e4705d901d078cd6fc668,current row-parallel Quasar QA encoder; output allocation included
QA-GPU,Mersenne127,19,524288,1048576,2.000000000,32,1,10,8.874743,0.658809,0.661865,0.637555,0.6828,2.710123,1.2565788269042968,0.187987,0.155210,0.306515,0.649712,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,19,524288,2097152,4.000000000,32,1,10,239.214675,49.798690,49.808422,49.345541,50.3865,0.611955,94.98346347808838,,,,,c29f08653121637b456e4705d901d078cd6fc668,public Blaze encode_bits_ser as-is; input clone/setup excluded; pinned revision repeat_interleave returns repetition instead of constructed new_input
