protocol,field,log_input,message_elements,codeword_elements,actual_inverse_rate,threads,warmups,repetitions,setup_ms,mean_ms,median_ms,min_ms,max_ms,cv_percent,mean_ns_per_input_element,gpu_h2d_mean_ms,gpu_kernel_mean_ms,gpu_d2h_mean_ms,gpu_cuda_total_mean_ms,public_repo_revision,notes
QA,Mersenne127,12,4096,8192,2.000000000,32,1,10,0.161274,1.189900,1.190327,1.174967,1.2084,0.975130,290.502978515625,,,,,c29f08653121637b456e4705d901d078cd6fc668,current Quasar QA encoder; qa_rows=1 is a single CPU codeword; output allocation included
QA-GPU,Mersenne127,12,4096,8192,2.000000000,32,1,10,261.252013,0.056548,0.056271,0.055041,0.0586,2.150801,13.805712890625001,0.008650,0.032262,0.008643,0.049555,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,12,4096,8192,2.000000000,32,1,10,2.058917,0.541012,0.540518,0.516562,0.5675,2.966979,132.08310546874998,,,,,c29f08653121637b456e4705d901d078cd6fc668,rate-1/2 speed experiment using public Blaze encode_bits_ser as-is; input clone/setup excluded; inverse-rate-2 RAA does not inherit the cited inverse-rate>=4 distance theorem; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,12,4096,8192,2.000000000,32,1,10,4.636127,1.438108,1.439528,1.432152,1.4425,0.259063,351.1005859375,,,,,c29f08653121637b456e4705d901d078cd6fc668,Brakedown2 rate-1/2 parameters (alpha=0.3 c_n=11 d_n=22); serial row encoding; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,12,4096,8192,2.000000000,32,1,10,2.685571,2.340305,2.325153,2.246372,2.4312,3.037766,571.3634521484374,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded; public BaseFold implementation uses internal Rayon parallelism
QA,Mersenne127,13,8192,16384,2.000000000,32,1,10,0.094712,1.023208,1.019463,1.015724,1.0508,0.947543,124.90338134765625,,,,,c29f08653121637b456e4705d901d078cd6fc668,current Quasar QA encoder; qa_rows=1 is a single CPU codeword; output allocation included
QA-GPU,Mersenne127,13,8192,16384,2.000000000,32,1,10,1.699889,0.064968,0.064807,0.063921,0.0664,1.074442,7.9307006835937495,0.010707,0.036982,0.010259,0.057949,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,13,8192,16384,2.000000000,32,1,10,2.618620,0.893658,0.912122,0.770287,0.9519,6.291162,109.08906250000001,,,,,c29f08653121637b456e4705d901d078cd6fc668,rate-1/2 speed experiment using public Blaze encode_bits_ser as-is; input clone/setup excluded; inverse-rate-2 RAA does not inherit the cited inverse-rate>=4 distance theorem; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,13,8192,16384,2.000000000,32,1,10,4.185746,2.871612,2.870086,2.866226,2.8802,0.169861,350.5385498046875,,,,,c29f08653121637b456e4705d901d078cd6fc668,Brakedown2 rate-1/2 parameters (alpha=0.3 c_n=11 d_n=22); serial row encoding; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,13,8192,16384,2.000000000,32,1,10,4.512283,3.438136,3.430114,3.310766,3.6034,2.425196,419.6943115234375,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded; public BaseFold implementation uses internal Rayon parallelism
