protocol,field,log_input,message_elements,codeword_elements,actual_inverse_rate,threads,execution_mode,warmups,repetitions,setup_ms,mean_ms,median_ms,min_ms,max_ms,cv_percent,mean_ns_per_input_element,gpu_h2d_mean_ms,gpu_kernel_mean_ms,gpu_d2h_mean_ms,gpu_cuda_total_mean_ms,public_repo_revision,notes
QA,Mersenne127,12,4096,8192,2.000000000,1,serial,5,10,0.173124,1.268798,1.267134,1.262299,1.2822,0.436016,309.76516113281247,,,,,c29f08653121637b456e4705d901d078cd6fc668,current Quasar QA encoder; global Rayon pool fixed to one worker; qa_rows=1 is a single serial CPU codeword; output allocation included
QA-GPU,Mersenne127,12,4096,8192,2.000000000,1,gpu,5,10,251.593381,0.055997,0.056176,0.055041,0.0573,1.297123,13.671191406250001,0.008240,0.032470,0.008432,0.049142,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,12,4096,8192,2.000000000,1,serial,5,10,0.892710,0.172459,0.170879,0.169903,0.1806,1.932534,42.104199218750004,,,,,c29f08653121637b456e4705d901d078cd6fc668,serial rate-1/2 speed experiment using public Blaze encode_bits_ser as-is; input clone/setup excluded; inverse-rate-2 RAA does not inherit the cited inverse-rate>=4 distance theorem; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,12,4096,8192,2.000000000,1,serial,5,10,4.539094,1.452362,1.453323,1.446933,1.4568,0.224730,354.58063964843745,,,,,c29f08653121637b456e4705d901d078cd6fc668,Brakedown2 rate-1/2 parameters (alpha=0.3 c_n=11 d_n=22); serial row encoding; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,12,4096,8192,2.000000000,1,serial,5,10,2.717802,3.631880,3.592963,3.554831,3.7397,1.861125,886.6894775390628,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded; internal Rayon operations constrained to one global worker
QA,Mersenne127,13,8192,16384,2.000000000,1,serial,5,10,0.168084,1.171234,1.023224,1.017764,1.8428,25.436913,142.97288818359374,,,,,c29f08653121637b456e4705d901d078cd6fc668,current Quasar QA encoder; global Rayon pool fixed to one worker; qa_rows=1 is a single serial CPU codeword; output allocation included
QA-GPU,Mersenne127,13,8192,16384,2.000000000,1,gpu,5,10,1.718529,0.064970,0.064547,0.063382,0.0669,1.569359,7.930957031250001,0.010714,0.036810,0.010448,0.057971,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,13,8192,16384,2.000000000,1,serial,5,10,1.422102,0.330483,0.329427,0.326978,0.3349,0.844386,40.3421142578125,,,,,c29f08653121637b456e4705d901d078cd6fc668,serial rate-1/2 speed experiment using public Blaze encode_bits_ser as-is; input clone/setup excluded; inverse-rate-2 RAA does not inherit the cited inverse-rate>=4 distance theorem; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,13,8192,16384,2.000000000,1,serial,5,10,4.128965,2.913870,2.914491,2.905997,2.9185,0.124348,355.69697265625007,,,,,c29f08653121637b456e4705d901d078cd6fc668,Brakedown2 rate-1/2 parameters (alpha=0.3 c_n=11 d_n=22); serial row encoding; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,13,8192,16384,2.000000000,1,serial,5,10,5.449055,6.598534,6.532555,4.129095,8.1164,21.540341,805.4850585937501,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded; internal Rayon operations constrained to one global worker
