protocol,field,log_input,message_elements,codeword_elements,actual_inverse_rate,threads,execution_mode,warmups,repetitions,setup_ms,mean_ms,median_ms,min_ms,max_ms,cv_percent,mean_ns_per_input_element,gpu_h2d_mean_ms,gpu_kernel_mean_ms,gpu_d2h_mean_ms,gpu_cuda_total_mean_ms,public_repo_revision,notes
QA-CPU-Serial,Mersenne127,12,4096,8192,2.000000000,1,serial,5,10,0.157544,1.039656,1.037389,1.030994,1.0678,0.984919,253.82226562500003,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,12,4096,8192,2.000000000,32,parallel-single-codeword,5,10,0.000000,2.031397,1.962550,1.774411,2.3650,10.009627,495.94645996093743,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,12,4096,8192,2.000000000,0,gpu,5,10,258.795274,0.056500,0.056302,0.055261,0.0583,1.517308,13.794042968750002,0.008730,0.032400,0.008541,0.049670,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,13,8192,16384,2.000000000,1,serial,5,10,0.095002,1.021263,1.018224,1.014943,1.0505,0.989136,124.6658447265625,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,13,8192,16384,2.000000000,32,parallel-single-codeword,5,10,0.000000,4.126563,4.104389,4.038073,4.3179,2.175504,503.73082275390624,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,13,8192,16384,2.000000000,0,gpu,5,10,3.712125,0.087958,0.086912,0.085142,0.0992,4.311442,10.7370361328125,0.014781,0.055139,0.007971,0.077891,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,14,16384,32768,2.000000000,1,serial,5,10,0.326828,2.171795,2.171365,2.167870,2.1836,0.196361,132.55583496093752,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,14,16384,32768,2.000000000,32,parallel-single-codeword,5,10,0.000000,6.614918,6.117460,5.793903,7.8616,12.722756,403.7425598144531,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,14,16384,32768,2.000000000,0,gpu,5,10,4.758999,0.103533,0.102768,0.101812,0.1107,2.398368,6.319183349609374,0.019754,0.061018,0.012726,0.093498,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,15,32768,65536,2.000000000,1,serial,5,10,1.199697,4.636898,4.633556,4.620027,4.6598,0.275055,141.50688781738282,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,15,32768,65536,2.000000000,32,parallel-single-codeword,5,10,0.000000,10.391608,10.255706,10.106842,11.6361,4.049501,317.1267059326172,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,15,32768,65536,2.000000000,0,gpu,5,10,6.101750,0.134877,0.133138,0.131883,0.1439,2.665119,4.116122436523439,0.032595,0.069594,0.021917,0.124106,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,16,65536,131072,2.000000000,1,serial,5,10,2.508327,9.852748,9.847352,9.838666,9.8769,0.135306,150.34099884033202,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,16,65536,131072,2.000000000,32,parallel-single-codeword,5,10,0.000000,19.460926,19.633832,17.984894,21.2632,6.599751,296.9501724243164,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,16,65536,131072,2.000000000,0,gpu,5,10,8.533256,0.172934,0.172499,0.170204,0.1804,1.566348,2.638763427734375,0.047322,0.074438,0.040893,0.162653,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,17,131072,262144,2.000000000,1,serial,5,10,3.730376,21.020380,20.862950,20.850840,22.4190,2.218576,160.3727684020996,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,17,131072,262144,2.000000000,32,parallel-single-codeword,5,10,0.000000,38.010559,38.008769,37.263928,39.1544,1.266723,289.9975547790527,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,17,131072,262144,2.000000000,0,gpu,5,10,12.740614,0.243873,0.244371,0.228805,0.2589,4.220782,1.860601043701172,0.080282,0.076544,0.076560,0.233386,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,18,262144,524288,2.000000000,1,serial,5,10,4.402631,43.981357,43.979166,43.953252,44.0202,0.044568,167.77556114196778,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,18,262144,524288,2.000000000,32,parallel-single-codeword,5,10,0.000000,46.122350,46.181057,45.544938,46.5514,0.531730,175.9428020477295,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,18,262144,524288,2.000000000,0,gpu,5,10,8.157327,0.369787,0.369579,0.358238,0.3787,2.038490,1.410623550415039,0.111693,0.099891,0.150998,0.362582,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,19,524288,1048576,2.000000000,1,serial,5,10,9.192181,93.154540,92.937128,92.599530,94.0241,0.587164,177.67818450927737,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,19,524288,1048576,2.000000000,32,parallel-single-codeword,5,10,0.000000,57.014459,56.988051,56.602072,57.4309,0.441587,108.74645023345947,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,19,524288,1048576,2.000000000,0,gpu,5,10,9.834717,0.654424,0.648740,0.632365,0.6797,2.443383,1.2482152938842772,0.189098,0.155718,0.301635,0.646451,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,20,1048576,2097152,2.000000000,1,serial,5,10,17.786069,216.538008,217.240122,214.899424,217.3035,0.437920,206.50673637390136,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,20,1048576,2097152,2.000000000,32,parallel-single-codeword,5,10,0.000000,107.863490,107.775610,107.491242,108.3488,0.270516,102.86664056777953,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,20,1048576,2097152,2.000000000,0,gpu,5,10,14.613276,1.219754,1.216998,1.169916,1.2752,3.635177,1.1632479667663573,0.371603,0.237363,0.602800,1.211766,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
