protocol,field,log_input,message_elements,codeword_elements,actual_inverse_rate,threads,execution_mode,warmups,repetitions,setup_ms,mean_ms,median_ms,min_ms,max_ms,cv_percent,mean_ns_per_input_element,gpu_h2d_mean_ms,gpu_kernel_mean_ms,gpu_d2h_mean_ms,gpu_cuda_total_mean_ms,public_repo_revision,notes
QA-CPU-Serial,Mersenne127,12,4096,8192,2.000000000,1,serial,5,10,0.078272,0.499333,0.498327,0.493701,0.5058,0.739213,121.90759277343749,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,12,4096,8192,2.000000000,32,parallel-single-codeword,5,10,0.000000,1.863420,1.875643,1.788431,1.9335,3.031266,454.93647460937507,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,12,4096,8192,2.000000000,0,gpu,5,10,261.081256,0.056694,0.056352,0.056011,0.0583,1.291483,13.841430664062498,0.008608,0.032262,0.008957,0.049827,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,13,8192,16384,2.000000000,1,serial,5,10,0.095362,1.024060,1.020053,1.018033,1.0547,1.019062,125.00726318359376,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,13,8192,16384,2.000000000,32,parallel-single-codeword,5,10,0.000000,4.384561,4.391891,4.027093,4.6157,3.970136,535.2247314453126,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,13,8192,16384,2.000000000,0,gpu,5,10,3.594552,0.085751,0.084432,0.082991,0.0987,5.096664,10.46763916015625,0.013837,0.054006,0.007744,0.075587,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,14,16384,32768,2.000000000,1,serial,5,10,0.337048,2.177500,2.175709,2.170150,2.1978,0.342137,132.90405273437497,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,14,16384,32768,2.000000000,32,parallel-single-codeword,5,10,0.000000,6.868581,6.327111,6.173382,8.5054,12.890060,419.22492675781245,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,14,16384,32768,2.000000000,0,gpu,5,10,4.927054,0.103189,0.101923,0.101132,0.1124,3.115287,6.2981811523437505,0.019062,0.061376,0.012576,0.093014,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,15,32768,65536,2.000000000,1,serial,5,10,1.282309,4.627789,4.626931,4.619996,4.6461,0.149505,141.22892456054686,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
